population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std
CD11b-/CD16-,pSTAT6,IL-4,73.27581596374512,735.7535350935706,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,42.2649319896369
CD4+/CD8+,pSTAT3,IL-2,20.65799331665039,2499.6662819404573,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,101.8522509066463
CD16+/CD11b+,pErk1/2,R848,31.539716720581055,230.83449216855917,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,53.765921916281215
CD4+/CD8+,pSTAT1,IFNb,22.066237926483154,139.41663155190065,CD4+/CD8+,T Cells,Sm147Di,Human,median,CD4+/CD8+,T Cells,Sm147Di,Human,median,26.932347672544456
CD16+/CD11b-,pErk1/2,LPS,20.127033233642578,120.99007572871682,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,39.21115216640679
CD16+/CD11b-,pErk1/2,Anthrax,23.417224884033203,352.3520555418472,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,43.44992720902361
CD1c+ B cells,pSTAT6,IL-4,56.02375912666321,746.4823145075461,CD1c+ B cells,B Cells,Ho165Di,Human,median,CD1c+ B cells,B Cells,Ho165Di,Human,median,40.848834638887396
CD11b-/CD16-,pErk1/2,GM-CSF,40.91987419128418,409.9840047787839,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,44.901091936512614
CD16+/CD11b-,pP38,R848,21.66794729232788,133.65921111424007,CD16+/CD11b-,HLA-DR+/CD7-,Sm154Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm154Di,Human,median,24.15341906843228
CD16+/CD11b-,pSTAT1,IFNa2,25.329294204711914,143.80546491540977,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,39.89199953582332
CD16+/CD11b-,pSTAT5,GM-CSF,65.93984985351562,200.34116836588888,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,31.611212145259977
CD4+T cells,pSTAT1,IFNb,22.544413566589355,106.90409723874184,CD4+T cells,T Cells,Sm147Di,Human,median,CD4+T cells,T Cells,Sm147Di,Human,median,22.131101017519658
CD16+/CD11b+,pSTAT1,IFNb,41.4626350402832,308.9614939969482,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,51.450759314990584
CD11b+/CD16-,pTBK1,LPS,97.8209080696106,9140.981844535336,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,114.78884061136326
