population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std
pDCs,pSTAT1,IFNa2,21.0099778175354,205.40733042553597,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,24.53316934582908
CD11b+/CD16-,pErk1/2,IL-6,14.700643539428711,202.48497454158016,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,41.55603879313268
CD16+/CD11b-,pErk1/2,GM-CSF,59.707977294921875,384.8437253748511,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,44.61580211972377
CD4+/CD8+,pSTAT1,IFNb,25.04925537109375,174.30610986636043,CD4+/CD8+,T Cells,Sm147Di,Human,median,CD4+/CD8+,T Cells,Sm147Di,Human,median,26.932347672544456
CD8+T cells,pSTAT1,IFNb,15.850658416748047,69.41661526733192,CD8+T cells,T Cells,Sm147Di,Human,median,CD8+T cells,T Cells,Sm147Di,Human,median,16.704649487113056
CD16+/CD11b-,pCREB,R848,14.09915542602539,110.65858739964003,CD16+/CD11b-,HLA-DR+/CD7-,Nd145Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Nd145Di,Human,median,25.737668074780913
CD11b-/CD16-,pCREB,R848,12.953594207763672,128.4589644018683,CD11b-/CD16-,HLA-DR+/CD7-,Nd145Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Nd145Di,Human,median,24.173209768983057
B Cells,pCREB,CD40L,13.400252342224121,46.44527925618058,B Cells,CD45+ CD66-,Nd145Di,Human,median,B Cells,CD45+ CD66-,Nd145Di,Human,median,14.879579571096297
CD4+T cells,pSTAT5,IFNa2,13.406806230545044,33.183038178622624,CD4+T cells,T Cells,Sm149Di,Human,median,CD4+T cells,T Cells,Sm149Di,Human,median,11.285602862375242
CD11b+/CD16-,pSTAT3,IL-6,16.371870040893555,1132.3257733249625,CD11b+/CD16-,HLA-DR+/CD7-,La139Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,La139Di,Human,median,75.57056036865241
CD11b-/CD16-,pTBK1,R848,14.60669493675232,178.23494855680104,CD11b-/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,25.58001310224604
CD7+/HLA-DR-,pSTAT4,IFNa2,11.701669454574585,24.49352816321326,CD7+/HLA-DR-,CD19- CD3-,Er170Di,Human,median,CD7+/HLA-DR-,CD19- CD3-,Er170Di,Human,median,7.9412133226300785
CD16+/CD11b+,pSTAT3,LPS,14.209205627441406,3014.0130382457623,CD16+/CD11b+,HLA-DR+/CD7-,La139Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,La139Di,Human,median,111.49612393120493
CD11b-/CD16-,pErk1/2,R848,16.38027572631836,246.2813315597417,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,37.11201783174856
CD11b-/CD16-,pSTAT5,GM-CSF,59.75488996505737,400.959012936985,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,31.194871895800166
pDCs,pSTAT1,IFNb,25.208232879638672,220.0378949958426,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,26.20741998039453
pDCs,pP38,TNFa,13.031291007995605,124.23381940034179,pDCs,HLA-DR+ CD11c-,Sm154Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm154Di,Human,median,21.273394137775362
CD4+/CD8+,pSTAT3,IL-12,23.442588806152344,3491.3584709355773,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,109.04923995192861
CD11b-/CD16-,pSTAT1,IFNg,13.732651233673096,103.11514494210383,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,22.200417518224516
CD4+/CD8+,pSTAT6,IL-4,33.719635009765625,130.39764390849274,CD4+/CD8+,T Cells,Ho165Di,Human,median,CD4+/CD8+,T Cells,Ho165Di,Human,median,16.705212095033055
CD11b+/CD16-,pSTAT1,IFNa2,25.85153865814209,164.43372921103222,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,38.775729360658254
