population,reagent,Condition,median,variance
CD4+T cells,pMAPKAPK2,TNFa,6.139509916305542,7.752188713729975
CD1c+ B cells,IkBa,R848,10.323948860168457,NaN
CD11b-/CD16-,pSTAT4,GM-CSF,13.382982730865479,54.42662019836149
CD4+T cells,p4E-BP1,TNFa,8.999428033828735,6.379456596520187
CD4+/CD8+,pSTAT3,LPS,87.46183013916016,NaN
B Cells,pPLCg2,IL-12,7.444034695625305,15.899454968342566
CD8+T cells,pMAPKAPK2,IFNb,5.617265105247498,7.660441295402676
Neutrophils,Ki67,GM-CSF,9.810377359390259,49.555811224896686
CD7+/HLA-DR-,IkBa,IFNb,5.102000594139099,6.52942009569293
CD8+T cells,pMAPKAPK2,TNFa,6.183040618896484,8.030683609613918
CD4+T cells,Ki67,IL-4,16.789747714996338,103.12779118799357
CD4+/CD8+,pSTAT5,Basal,18.48176670074463,NaN
CD16+/CD11b+,pSTAT1,CD40L,61.871992111206055,1530.1124814039806
CD8+T cells,pSTAT6,Basal,4.118146777153015,10.489851551584136
CD8+T cells,IkBa,PMAIono,4.9906086921691895,6.55732036673472
CD16+/CD11b+,pCREB,TNFa,63.77448558807373,931.6110438334879
CD16+/CD11b+,pS6,Ebola VLPs,87.24361801147461,2579.2609069283894
CD16+/CD11b-,pS6,CD40L,68.23765754699707,1245.489300324335
CD11b+/CD16-,pS6,IFNb,77.00736999511719,1743.6541684599354
CD4+T cells,IkBa,IL-2,6.541803598403931,12.0070343046086
CD4+/CD8+,pMAPKAPK2,TNFa,9.14347791671753,NaN
CD11b+/CD16-,pErk1/2,GM-CSF,125.59182548522949,2383.4924969608637
CD16+/CD11b-,pTBK1,TNFa,51.23035526275635,545.0691979005668
Basophils,Ki67,LPS,17.05244207382202,81.26047829345268
CD1c+ B cells,pP38,IL-12,25.87633514404297,NaN
CD4+T cells,p4E-BP1,IFNg,9.35596489906311,6.006722062560576
B Cells,pSTAT3,IFNa2,41.08235740661621,2339.6801724618163
Basophils,pMAPKAPK2,CD40L,7.802797794342041,13.700701666106958
CD4+T cells,p4E-BP1,PMAIono,9.523394107818604,7.343273966082898
CD4+T cells,pCREB,Anthrax,18.888340950012207,79.10661816153697
CD11b-/CD16-,IkBa,Basal,11.11515188217163,38.86885466317204
CD8+T cells,pPLCg2,IL-12,5.959181070327759,12.650266848188927
CD7+/HLA-DR-,pCREB,GM-CSF,21.751590251922607,122.47020786478146
B Cells,pSTAT1,TNFa,5.706292748451233,8.67069205737742
CD4+T cells,pErk1/2,PMAIono,36.13728046417236,468.2989320967788
CD1c+ B cells,pMAPKAPK2,R848,9.108898639678955,NaN
Basophils,pCREB,Basal,31.870460033416748,251.07093989924752
CD7+/HLA-DR-,pZap70/Syk,PMAIono,3.889322578907013,4.130948238918102
pDCs,pSTAT4,PMAIono,10.38073205947876,44.4020349346036
CD16+/CD11b+,pSTAT4,Anthrax,17.135486125946045,160.2593574726343
CD4+/CD8+,pZap70/Syk,IL-12,6.524400115013123,NaN
CD4+/CD8+,p4E-BP1,IFNb,9.254566669464111,NaN
Basophils,pSTAT5,TNFa,25.75341510772705,169.4778994836074
CD16+/CD11b-,pPLCg2,Ebola VLPs,15.415621519088745,91.44241326815009
Neutrophils,pZap70/Syk,IL-4,8.348863124847412,6.635241991907206
CD4+T cells,pSTAT4,IL-4,7.071912527084351,16.806895646911293
CD11b-/CD16-,pSTAT5,R848,16.89074420928955,149.2476778614505
Neutrophils,pS6,TNFa,51.433977127075195,681.5112205821655
CD11b+/CD16-,pCREB,Basal,51.4799222946167,588.7169689687814
CD1c+ B cells,pSTAT3,LPS,61.33048439025879,NaN
Basophils,pCREB,IL-6,32.49272632598877,242.7736850147559
CD7+/HLA-DR-,pTBK1,Anthrax,7.915784001350403,37.236822045916476
B Cells,pZap70/Syk,Anthrax,4.201132416725159,4.424463899138844
CD16+/CD11b+,Ki67,IL-6,22.860949516296387,270.7488852499768
pDCs,pP38,IL-12,19.611270904541016,200.59350053375096
CD11b-/CD16-,pCREB,PMAIono,45.6789493560791,731.0296376581684
pDCs,IkBa,IL-6,10.563393592834473,28.535789484053808
Neutrophils,pTBK1,IL-2,4.6883227825164795,19.232488428365077
CD4+T cells,pSTAT5,IFNb,46.131099700927734,277.98049000829013
Neutrophils,pZap70/Syk,CD40L,8.497734069824219,6.368367105948362
CD1c+ B cells,pMAPKAPK2,LPS,8.591835379600525,NaN
Basophils,pTBK1,IL-12,11.683826446533203,85.58619992458055
CD1c+ B cells,pSTAT5,IL-6,20.747663974761963,NaN
CD11b-/CD16-,pSTAT3,IFNg,62.29827308654785,3193.423586874102
CD11b-/CD16-,pMAPKAPK2,IFNg,11.052537202835083,21.168780708076774
Neutrophils,pSTAT3,IFNg,58.66495704650879,3631.811181838144
CD4+T cells,pErk1/2,IL-4,28.42478847503662,224.97293032576584
Neutrophils,Ki67,TNFa,10.306707382202148,61.51379587761559
CD11b+/CD16-,pMAPKAPK2,LPS,19.530057430267334,62.623343815304295
CD11b-/CD16-,pZap70/Syk,IFNb,5.043182611465454,6.560918163710173
pDCs,pPLCg2,Basal,9.832422256469727,27.377678646260982
pDCs,pTBK1,CD40L,10.647918224334717,103.94396390265109
Basophils,IkBa,IL-2,6.108610153198242,7.654408754187174
B Cells,pErk1/2,Basal,25.826411247253418,176.94684499707398
Neutrophils,pTBK1,IFNg,4.667158126831055,20.865709972288364
CD4+T cells,pPLCg2,Basal,5.241321444511414,9.140629198994455
CD8+T cells,pZap70/Syk,CD40L,4.443367958068848,1.6513012694160325
CD8+T cells,Ki67,Ebola VLPs,12.903516054153442,69.91470158408802
CD8+T cells,pErk1/2,Ebola VLPs,25.90726613998413,204.27975741730492
CD8+T cells,pSTAT5,TNFa,11.572344779968262,57.782378558057665
CD16+/CD11b-,Ki67,R848,16.787327766418457,149.87537996537887
CD8+T cells,IkBa,TNFa,2.602910041809082,2.3621895316278003
CD16+/CD11b+,pZap70/Syk,R848,8.199563980102539,21.344342183372916
CD11b+/CD16-,IkBa,TNFa,4.98572838306427,7.233236810212579
Neutrophils,p4E-BP1,IL-2,7.467348098754883,8.651254369806944
CD7+/HLA-DR-,pPLCg2,Ebola VLPs,6.252106189727783,15.89582293656015
CD4+/CD8+,pErk1/2,Ebola VLPs,45.70203971862793,NaN
CD11b-/CD16-,pSTAT3,GM-CSF,64.77774810791016,3914.3519985314138
CD8+T cells,pPLCg2,LPS,5.74848210811615,11.098608871204616
pDCs,p4E-BP1,R848,41.20581340789795,190.50171727968367
CD7+/HLA-DR-,pPLCg2,R848,6.32441258430481,16.309456593900904
CD16+/CD11b+,pMAPKAPK2,IFNa2,15.06559133529663,43.42415998661326
pDCs,pSTAT4,IL-4,10.101316928863525,41.216536909886955
CD16+/CD11b+,pSTAT6,IL-6,7.7603055238723755,67.0819375200506
CD1c+ B cells,pPLCg2,Anthrax,9.866425633430481,NaN
CD4+T cells,p4E-BP1,IFNb,8.805828094482422,6.138912174498358
CD8+T cells,pS6,Anthrax,46.16253089904785,474.7443275732534
B Cells,p4E-BP1,Ebola VLPs,25.019386291503906,24.561276251900782
B Cells,p4E-BP1,CD40L,24.594480991363525,22.90782289091333
CD7+/HLA-DR-,IkBa,PMAIono,4.816640138626099,5.782367695611793
pDCs,pPLCg2,IL-4,9.659072399139404,26.845419924785254
Basophils,pErk1/2,IFNg,31.362590789794922,431.30691377946806
CD1c+ B cells,pMAPKAPK2,PMAIono,11.935685157775879,NaN
B Cells,pSTAT3,IL-12,45.57590389251709,2555.856019900756
CD4+/CD8+,IkBa,Ebola VLPs,6.484346985816956,NaN
CD16+/CD11b-,pSTAT3,Ebola VLPs,64.108962059021,4434.563605918043
CD4+T cells,pErk1/2,Anthrax,28.493781089782715,235.21921081970046
pDCs,pSTAT5,GM-CSF,73.00645065307617,NaN
CD7+/HLA-DR-,pP38,IL-6,10.770350694656372,40.52131665133
B Cells,pErk1/2,Anthrax,27.927692890167236,225.95038723709538
CD8+T cells,pSTAT6,Ebola VLPs,4.052499294281006,10.024644803860566
CD1c+ B cells,pS6,Basal,62.760725021362305,NaN
CD16+/CD11b-,pMAPKAPK2,IL-2,12.322746276855469,21.81075713451115
CD4+T cells,Ki67,IFNb,16.444654941558838,106.94403742225012
CD7+/HLA-DR-,pP38,PMAIono,11.47089409828186,49.53137908791289
CD7+/HLA-DR-,Ki67,IL-4,11.512902975082397,46.360850286146565
B Cells,pErk1/2,IFNg,26.29462194442749,178.68465798574366
CD8+T cells,pTBK1,R848,6.456266641616821,25.647305766264456
CD16+/CD11b-,pSTAT3,IFNa2,67.50942993164062,4551.190673303096
CD16+/CD11b-,pS6,GM-CSF,73.95479965209961,1337.5353426721251
CD4+T cells,pSTAT6,LPS,4.8428651094436646,15.377607125332077
CD8+T cells,pMAPKAPK2,IL-12,5.671624779701233,8.194358877657175
CD11b-/CD16-,pSTAT1,IL-12,27.380205631256104,355.6894176884708
CD16+/CD11b-,pS6,IL-4,71.40388298034668,1274.396738880803
CD16+/CD11b-,pSTAT5,Ebola VLPs,19.368225574493408,216.00183822092748
CD4+/CD8+,pErk1/2,CD40L,50.269758224487305,1688.245134606079
Neutrophils,pMAPKAPK2,Basal,7.27335798740387,13.250577082428617
CD4+T cells,IkBa,Anthrax,6.765130400657654,12.935762363975009
pDCs,IkBa,R848,3.7432000637054443,5.646201193349044
CD8+T cells,pSTAT5,GM-CSF,11.698812246322632,55.186531793380674
CD1c+ B cells,pCREB,Anthrax,28.622957229614258,NaN
CD11b-/CD16-,p4E-BP1,IFNb,42.18359565734863,218.73429737759326
CD16+/CD11b+,pMAPKAPK2,GM-CSF,18.197221755981445,52.785979232655436
pDCs,pSTAT1,IFNg,22.527682304382324,268.13639232668226
CD16+/CD11b+,p4E-BP1,LPS,25.163158416748047,86.76003357549084
CD7+/HLA-DR-,pS6,IFNa2,39.58730411529541,505.65509753432536
CD11b+/CD16-,pMAPKAPK2,IFNg,13.154736042022705,31.884168200640353
