population,reagent,Condition,median,variance
CD16+/CD11b-,pCREB,IL-4,38.986127853393555,420.3621509000814
CD11b+/CD16-,pErk1/2,IFNb,76.0637149810791,1726.6061568250636
Basophils,pSTAT1,IL-6,28.139782428741455,221.9928466426798
CD16+/CD11b+,pPLCg2,IFNa2,16.055155277252197,159.95273054517017
CD7+/HLA-DR-,pSTAT1,R848,5.8301286697387695,13.812411473516123
CD7+/HLA-DR-,pZap70/Syk,IL-2,4.084577679634094,4.157578918476741
CD16+/CD11b-,pP38,IFNg,21.851119995117188,152.8757740823436
Neutrophils,pZap70/Syk,IL-6,8.367650270462036,6.455147498114114
CD11b-/CD16-,pErk1/2,IL-4,41.05295372009277,637.9446795900811
CD11b+/CD16-,pMAPKAPK2,IFNb,13.287020683288574,30.351913231893892
CD16+/CD11b+,pSTAT3,CD40L,125.61132049560547,9858.926688330568
CD16+/CD11b+,pZap70/Syk,Ebola VLPs,7.027648329734802,16.74192843829985
CD7+/HLA-DR-,pSTAT3,TNFa,62.015828132629395,3510.818180170799
CD16+/CD11b-,pSTAT5,IFNa2,31.96074390411377,278.3157744175142
Neutrophils,pP38,LPS,22.05191469192505,106.51129373145642
B Cells,pSTAT4,TNFa,8.830862045288086,18.40382060972548
CD8+T cells,pCREB,IL-2,22.882811546325684,110.65714820315762
CD11b-/CD16-,pSTAT5,IFNg,20.551271438598633,164.35244668127714
Neutrophils,pSTAT4,IL-12,7.996650815010071,30.6794918986377
CD11b-/CD16-,pPLCg2,CD40L,9.835044860839844,38.89457477504831
CD16+/CD11b-,pPLCg2,R848,15.160755157470703,104.86193008184539
CD11b+/CD16-,p4E-BP1,IFNa2,31.98886775970459,139.99290812092764
CD4+T cells,pMAPKAPK2,R848,5.722491145133972,7.557258024315732
CD16+/CD11b+,pTBK1,GM-CSF,14.535038709640503,195.77134942882776
pDCs,pZap70/Syk,IFNb,4.655022382736206,5.5172320289130505
CD11b-/CD16-,pPLCg2,R848,10.434365272521973,36.71884578142442
CD4+T cells,pSTAT4,Ebola VLPs,7.087337017059326,16.299884677344686
CD1c+ B cells,Ki67,IL-4,20.075811862945557,NaN
CD16+/CD11b-,pMAPKAPK2,IFNg,12.578463315963745,22.40246598774655
Basophils,pErk1/2,IFNb,33.48386859893799,501.66082216689347
CD4+T cells,Ki67,IL-12,17.225618362426758,118.22913925434295
pDCs,pP38,IFNg,21.059980392456055,142.5537605321816
CD11b-/CD16-,IkBa,IFNa2,10.607187986373901,30.394899723562165
pDCs,pSTAT3,Ebola VLPs,63.396912574768066,2811.893209054857
CD16+/CD11b+,pSTAT1,IFNg,98.38379669189453,2633.536487200053
CD7+/HLA-DR-,pSTAT5,LPS,10.057024002075195,51.00907487046774
CD4+/CD8+,pSTAT1,IFNb,67.56819725036621,NaN
CD4+/CD8+,pSTAT5,IL-12,20.461050987243652,NaN
pDCs,pMAPKAPK2,IL-4,9.965382099151611,24.734193247737334
CD7+/HLA-DR-,pP38,LPS,10.515267372131348,41.29484652261363
CD1c+ B cells,pCREB,IL-2,29.330132961273193,NaN
pDCs,Ki67,CD40L,28.768645763397217,372.02557180771163
CD16+/CD11b+,pSTAT3,Ebola VLPs,115.64149475097656,9862.377237408507
CD16+/CD11b+,pSTAT1,Anthrax,56.816545486450195,1344.1006380632887
B Cells,pSTAT6,Basal,7.401732325553894,22.968760480771955
CD16+/CD11b+,pSTAT3,Basal,109.06239891052246,8923.025851279559
CD16+/CD11b+,p4E-BP1,IL-2,33.90476131439209,128.56992743607944
CD7+/HLA-DR-,pSTAT3,GM-CSF,59.56667900085449,3416.9061647773647
CD8+T cells,pPLCg2,IL-2,6.033936858177185,12.650800258305244
CD16+/CD11b-,pSTAT1,GM-CSF,55.44971752166748,1135.9487371544528
CD11b-/CD16-,p4E-BP1,Anthrax,43.38121509552002,218.1357180284566
CD7+/HLA-DR-,pP38,IFNb,11.523102283477783,44.73680109670663
CD16+/CD11b-,pP38,IL-2,20.64308452606201,153.07539538581142
Basophils,IkBa,IL-4,5.966714262962341,7.770374197532567
Basophils,p4E-BP1,Anthrax,11.672636032104492,11.384706779446832
CD16+/CD11b-,pS6,Anthrax,73.99331474304199,1348.9071743229517
Basophils,pSTAT1,TNFa,24.54289150238037,197.83502974729817
CD16+/CD11b+,pSTAT1,GM-CSF,60.60453510284424,1411.2440815479374
CD11b+/CD16-,pS6,IL-4,75.09524726867676,1638.479089958793
B Cells,pSTAT5,IFNg,13.568153142929077,68.1475611484995
B Cells,pMAPKAPK2,PMAIono,8.894536256790161,20.604233994748668
CD8+T cells,pSTAT1,IFNb,36.47593116760254,280.34255042800095
CD8+T cells,pZap70/Syk,IFNb,4.415235996246338,1.5477815176819205
Neutrophils,pErk1/2,IL-12,86.84376907348633,1903.786758572104
CD1c+ B cells,pSTAT6,PMAIono,10.099634170532227,NaN
B Cells,pZap70/Syk,IL-12,4.107960343360901,4.218369721559228
Neutrophils,pSTAT3,IL-12,59.5860710144043,4445.791997111148
CD4+T cells,pS6,IFNb,47.359092712402344,491.1584472371577
B Cells,p4E-BP1,IFNb,24.707589149475098,23.111451240504604
Neutrophils,pErk1/2,GM-CSF,114.0953369140625,2194.7478883597414
Neutrophils,pS6,GM-CSF,52.15395545959473,630.9605805439093
Neutrophils,pSTAT4,IL-6,7.881494760513306,26.025797266657857
CD7+/HLA-DR-,pPLCg2,IFNg,6.106255054473877,15.926257133494337
CD4+/CD8+,pS6,PMAIono,79.3626937866211,NaN
pDCs,pPLCg2,Anthrax,10.123735904693604,44.703745940349975
CD1c+ B cells,Ki67,IL-2,27.53893530368805,NaN
CD1c+ B cells,pS6,TNFa,64.34463500976562,NaN
CD8+T cells,p4E-BP1,IFNg,7.135925650596619,3.7369053772772927
CD16+/CD11b+,pZap70/Syk,LPS,7.81305730342865,21.846735469362912
pDCs,pZap70/Syk,R848,4.882880687713623,5.572034035965365
B Cells,pTBK1,IL-12,10.972409725189209,66.72283229685704
CD1c+ B cells,pCREB,CD40L,44.92575645446777,NaN
CD4+T cells,pSTAT4,Basal,7.137531161308289,17.409749997085505
CD7+/HLA-DR-,pSTAT6,GM-CSF,5.0056328773498535,14.65980151703407
pDCs,pSTAT4,Basal,9.847881555557251,42.86671133096043
CD11b-/CD16-,pErk1/2,Anthrax,44.70158863067627,1029.0343032926664
B Cells,pMAPKAPK2,Basal,6.447889804840088,8.367493314551135
CD7+/HLA-DR-,p4E-BP1,IFNb,6.148723840713501,4.613572254290065
pDCs,p4E-BP1,Ebola VLPs,40.670127868652344,208.62939262086283
CD7+/HLA-DR-,pSTAT6,R848,5.082168936729431,13.719323193063385
CD4+T cells,pSTAT3,IL-4,43.355079650878906,2369.978352185577
CD8+T cells,pS6,R848,45.44490337371826,448.4147906506153
Neutrophils,pSTAT1,IFNa2,31.71407127380371,369.5354937019417
Neutrophils,pSTAT5,Basal,15.783411741256714,127.1147454450732
CD7+/HLA-DR-,p4E-BP1,IL-4,6.254389047622681,4.346807607620578
CD4+/CD8+,pSTAT5,Anthrax,19.418825149536133,NaN
CD7+/HLA-DR-,pS6,LPS,39.266401290893555,517.5016859651948
pDCs,pP38,PMAIono,22.232484817504883,300.90379410416534
B Cells,pSTAT4,LPS,8.676440238952637,19.238732880681585
B Cells,pZap70/Syk,GM-CSF,3.9693443775177,3.5561678823058984
B Cells,pTBK1,R848,12.263166189193726,67.37191147534315
CD11b+/CD16-,Ki67,IFNb,28.087865829467773,292.2653251736003
CD11b+/CD16-,pZap70/Syk,IL-2,5.584279537200928,8.384163696519488
Neutrophils,pSTAT4,CD40L,7.911800742149353,26.34444586979817
Neutrophils,pTBK1,IFNa2,4.421525001525879,13.65492461978084
CD8+T cells,pPLCg2,PMAIono,6.184616804122925,13.014047593684879
CD4+T cells,pSTAT6,TNFa,4.857243299484253,15.466383877748486
CD11b+/CD16-,pSTAT3,IFNg,86.5401668548584,4928.903831546485
CD11b-/CD16-,pSTAT1,IL-2,24.179441452026367,308.32501755068245
pDCs,pS6,IL-12,67.64003372192383,1110.6374255257244
CD16+/CD11b+,IkBa,IFNb,6.430014729499817,8.276871518769916
pDCs,Ki67,Anthrax,26.162538528442383,362.36973828565266
CD4+T cells,pTBK1,IFNb,7.050522327423096,30.30911061754157
CD4+/CD8+,pMAPKAPK2,LPS,8.653518676757812,NaN
Basophils,pZap70/Syk,CD40L,3.0816070437431335,2.87762948588381
pDCs,pCREB,LPS,24.920035362243652,164.29504560178574
CD4+T cells,pSTAT1,IL-4,22.78485107421875,153.58208949870195
CD11b+/CD16-,pSTAT1,LPS,53.93481254577637,1003.7369664302295
CD1c+ B cells,pSTAT4,GM-CSF,9.672236442565918,NaN
CD1c+ B cells,pSTAT6,IFNb,19.955082893371582,NaN
CD16+/CD11b-,pPLCg2,IFNa2,14.97594952583313,90.2977302553418
CD16+/CD11b+,pCREB,Anthrax,58.27505397796631,1074.7168186670253
CD11b-/CD16-,p4E-BP1,IL-12,41.16883659362793,214.2406686852891
CD16+/CD11b+,pErk1/2,IL-2,73.86397552490234,2034.603470738839
CD11b-/CD16-,pSTAT1,IL-6,32.13839626312256,396.0995724439189
CD1c+ B cells,pCREB,IL-12,25.571309089660645,NaN
B Cells,pSTAT1,GM-CSF,5.5309202671051025,8.624621568616757
CD8+T cells,pTBK1,IL-6,6.441884994506836,26.389961263169067
CD11b-/CD16-,pSTAT1,Basal,26.761932849884033,281.5879458477579
CD16+/CD11b+,pCREB,CD40L,51.57606315612793,827.7030071820191
CD16+/CD11b+,pZap70/Syk,CD40L,7.229149103164673,17.591545330925733
CD11b-/CD16-,pSTAT3,R848,67.88568115234375,3630.0161318967216
CD11b-/CD16-,pSTAT1,GM-CSF,30.702481269836426,340.93197403247245
CD4+/CD8+,pMAPKAPK2,PMAIono,9.52088975906372,NaN
B Cells,p4E-BP1,IL-12,24.918039798736572,24.51972712753416
Basophils,pP38,Ebola VLPs,11.115725994110107,35.532804556447516
CD11b-/CD16-,pSTAT6,Ebola VLPs,8.508817434310913,41.90263947745134
Neutrophils,pMAPKAPK2,IL-4,7.17454731464386,13.240653068534927
Basophils,IkBa,GM-CSF,5.6695544719696045,6.361770050072081
CD16+/CD11b+,pS6,IFNg,87.94596481323242,2341.760078128558
CD8+T cells,pSTAT1,Ebola VLPs,20.078292846679688,113.61078306283493
CD1c+ B cells,IkBa,Anthrax,10.760500431060791,NaN
CD4+T cells,pS6,Ebola VLPs,45.65938663482666,423.55236576239207
CD11b+/CD16-,pTBK1,IL-12,12.754437685012817,107.68526551998177
CD11b-/CD16-,pS6,IL-4,71.43918037414551,1183.3175206718045
CD8+T cells,pTBK1,GM-CSF,6.486260652542114,24.460012453796015
CD16+/CD11b+,pSTAT1,PMAIono,70.87250709533691,1638.9526471331815
pDCs,p4E-BP1,TNFa,41.55647087097168,190.0162459107166
CD8+T cells,pS6,GM-CSF,44.50999927520752,428.36605093540794
CD4+/CD8+,pCREB,IFNg,30.12738609313965,NaN
Basophils,pSTAT4,IFNg,9.972135543823242,26.993121000014767
CD4+T cells,IkBa,IFNa2,6.494863510131836,11.31072649614803
CD16+/CD11b+,pSTAT1,IL-12,57.04538059234619,1334.8471617377159
CD8+T cells,pErk1/2,TNFa,26.9521746635437,216.33943839014142
CD4+/CD8+,pSTAT6,PMAIono,6.17223048210144,NaN
CD11b+/CD16-,pErk1/2,Basal,70.82469749450684,1604.5010853355593
CD16+/CD11b+,IkBa,IFNa2,6.405810236930847,10.710170059622616
CD8+T cells,pSTAT6,CD40L,4.119186282157898,11.121945538453055
pDCs,pSTAT4,TNFa,9.836727142333984,60.03889500175262
CD7+/HLA-DR-,pSTAT6,LPS,5.012500286102295,15.213592592067052
CD11b+/CD16-,Ki67,IFNa2,28.295589923858643,284.93289218829307
Basophils,pMAPKAPK2,IFNa2,7.594089031219482,12.946454380048632
CD11b-/CD16-,pP38,Basal,19.459595203399658,128.1773652229593
CD1c+ B cells,pSTAT4,IL-6,10.483241081237793,NaN
CD8+T cells,Ki67,GM-CSF,13.323395252227783,73.63907687732102
CD7+/HLA-DR-,pCREB,IL-4,21.95319938659668,128.41988342554535
pDCs,pSTAT5,IL-4,18.787686347961426,172.4901744915157
Basophils,pPLCg2,IL-12,7.239665746688843,21.064760385378484
CD11b+/CD16-,IkBa,IFNa2,8.163475036621094,19.678970374832865
CD7+/HLA-DR-,pSTAT1,IL-12,6.276629209518433,15.969031998392696
CD7+/HLA-DR-,pSTAT3,CD40L,59.199195861816406,3506.848669007538
Basophils,p4E-BP1,IFNa2,11.261349439620972,11.421157439289424
CD11b+/CD16-,pP38,IL-2,19.629980087280273,133.6713856200442
CD16+/CD11b-,pPLCg2,IL-12,15.744879245758057,111.54911487303583
CD16+/CD11b+,pSTAT5,IL-12,21.50798988342285,404.5430007390263
B Cells,p4E-BP1,Basal,25.68556547164917,25.21535455946091
CD11b-/CD16-,pSTAT6,TNFa,8.488342761993408,41.99799756989312
CD1c+ B cells,pSTAT6,IFNg,9.63674259185791,NaN
pDCs,pTBK1,IL-12,10.264564514160156,81.09246159520525
CD11b-/CD16-,pPLCg2,PMAIono,10.697146654129028,47.66901152306662
B Cells,pSTAT4,PMAIono,8.770839214324951,19.485383814962233
Neutrophils,pSTAT6,IFNg,3.986031651496887,13.921734781427922
CD4+T cells,pTBK1,CD40L,7.4513795375823975,34.30928988034002
CD8+T cells,pSTAT1,IL-4,20.001296043395996,108.85995702106783
CD8+T cells,pSTAT4,PMAIono,6.005001068115234,12.366422846379162
CD4+T cells,pErk1/2,IL-12,28.84692144393921,261.3679284606489
CD4+/CD8+,pSTAT6,Anthrax,6.016198515892029,NaN
CD16+/CD11b+,pCREB,IFNb,51.792643547058105,799.5391583439213
pDCs,pSTAT1,IL-6,20.808372020721436,227.6581681240949
B Cells,pSTAT1,IFNg,9.650366306304932,15.944806282313474
CD16+/CD11b+,pS6,IFNb,85.44266128540039,2592.83142827378
Neutrophils,pSTAT1,Ebola VLPs,27.92983388900757,323.32838933932135
CD4+/CD8+,pS6,IL-6,77.4876480102539,NaN
Neutrophils,pSTAT6,Anthrax,3.8240158557891846,13.243420700355284
CD11b+/CD16-,pS6,Ebola VLPs,72.82168197631836,1606.5998829418493
CD4+/CD8+,p4E-BP1,IL-6,9.824706077575684,NaN
CD11b+/CD16-,pSTAT4,PMAIono,15.707557439804077,95.42269537925306
CD1c+ B cells,pP38,Ebola VLPs,23.167120933532715,NaN
CD4+T cells,pSTAT5,TNFa,12.360826015472412,62.67952414704165
CD11b+/CD16-,pSTAT5,IFNb,53.39058780670166,573.5123189760421
CD4+T cells,pSTAT6,GM-CSF,4.845738053321838,14.90930771607308
CD16+/CD11b+,pP38,Basal,20.105192184448242,186.1791010518018
CD1c+ B cells,pErk1/2,Basal,33.71455478668213,NaN
B Cells,IkBa,IL-2,5.08522355556488,8.536590574665443
CD8+T cells,pCREB,Anthrax,21.312101364135742,95.55010334033422
CD16+/CD11b+,pSTAT5,Ebola VLPs,21.068025588989258,353.798680137636
CD1c+ B cells,IkBa,IFNb,11.50993824005127,NaN
CD11b-/CD16-,p4E-BP1,IFNa2,42.44122886657715,223.08550193089206
Basophils,IkBa,Ebola VLPs,6.032821297645569,7.571081286030895
CD7+/HLA-DR-,pP38,IL-12,10.798908710479736,47.19604116509151
CD7+/HLA-DR-,Ki67,Ebola VLPs,11.149973154067993,46.605053891740766
CD11b-/CD16-,pCREB,IL-2,35.39448642730713,407.0598626702567
Basophils,Ki67,IFNb,16.982811450958252,78.77762356901528
CD16+/CD11b-,pPLCg2,Basal,13.423262596130371,78.17606824127431
B Cells,pP38,IL-12,17.649908542633057,96.43567041614611
Basophils,pTBK1,Anthrax,11.814517974853516,85.3756480171022
CD4+/CD8+,pMAPKAPK2,GM-CSF,8.342352151870728,NaN
CD11b+/CD16-,pErk1/2,IL-6,87.06264114379883,1763.5738541266223
CD16+/CD11b+,pTBK1,IL-6,14.87346363067627,178.95977192001925
CD1c+ B cells,pZap70/Syk,GM-CSF,6.045977234840393,NaN
CD11b+/CD16-,pP38,Anthrax,25.157172203063965,263.70550363187624
Basophils,pSTAT5,IL-12,26.29877471923828,198.5922903755752
CD4+T cells,pTBK1,IFNg,6.902748227119446,29.385346785853237
CD11b+/CD16-,pSTAT3,LPS,98.87042808532715,6111.446319709982
CD8+T cells,pCREB,IFNg,21.136664867401123,91.59129296617296
CD16+/CD11b-,Ki67,TNFa,19.268444061279297,198.20802733873288
CD11b-/CD16-,pMAPKAPK2,IL-2,10.603684186935425,21.100525860893207
CD4+T cells,pSTAT3,IFNa2,47.792598724365234,2322.4086971519914
CD16+/CD11b-,pCREB,IL-2,40.58631134033203,483.45165874782157
CD4+/CD8+,pPLCg2,IL-12,11.081240892410278,NaN
CD16+/CD11b+,pSTAT6,Ebola VLPs,7.839554309844971,60.96429852406982
pDCs,pZap70/Syk,Ebola VLPs,4.585432052612305,6.5870171500056545
CD7+/HLA-DR-,pSTAT5,IL-2,46.06717109680176,261.79224897853413
CD16+/CD11b+,pP38,IFNb,19.33361291885376,202.5167919455718
pDCs,pS6,Anthrax,68.54777526855469,1268.4400090143781
CD7+/HLA-DR-,pS6,IL-6,39.70210647583008,498.4474507781785
CD8+T cells,pPLCg2,IFNb,5.734186172485352,12.104054746426401
CD8+T cells,pSTAT3,TNFa,50.12867832183838,2508.3645177026265
CD4+/CD8+,pSTAT1,TNFa,37.8410701751709,NaN
CD7+/HLA-DR-,IkBa,Basal,4.89036226272583,6.875757265724982
B Cells,pSTAT4,Ebola VLPs,8.747554063796997,19.09827869266678
CD8+T cells,pMAPKAPK2,IFNg,5.853402853012085,7.874678860546262
CD1c+ B cells,pSTAT1,IL-4,12.269305229187012,NaN
CD11b+/CD16-,pTBK1,LPS,111.30098915100098,13072.861324842523
CD1c+ B cells,pSTAT3,PMAIono,67.3129768371582,NaN
pDCs,pSTAT6,IFNa2,20.125282287597656,129.6870343524193
pDCs,Ki67,IFNa2,27.103902339935303,323.64704661939226
CD11b+/CD16-,pCREB,R848,60.2027645111084,733.4893261399451
CD4+/CD8+,pSTAT5,CD40L,19.040186882019043,198.81129369982517
pDCs,pSTAT3,CD40L,72.62139701843262,3392.4329955583594
CD7+/HLA-DR-,pMAPKAPK2,IFNb,5.308215379714966,8.411578897809623
Basophils,pSTAT3,IL-6,54.06980609893799,4452.4475295879265
CD11b+/CD16-,p4E-BP1,Basal,35.27162551879883,161.19971581646888
pDCs,pMAPKAPK2,IFNa2,10.37118911743164,20.742136526623806
CD11b-/CD16-,pZap70/Syk,R848,5.499477386474609,6.65095032289864
Neutrophils,p4E-BP1,IL-12,7.111724376678467,7.64655347141845
CD4+/CD8+,pMAPKAPK2,Anthrax,9.076217889785767,NaN
B Cells,pSTAT3,IFNg,40.91222095489502,2232.770060293722
pDCs,pSTAT5,IL-6,17.470412254333496,182.79512255117575
CD16+/CD11b+,pZap70/Syk,GM-CSF,6.694717526435852,15.320154975074201
CD1c+ B cells,pSTAT1,LPS,12.527746677398682,NaN
CD11b-/CD16-,pMAPKAPK2,IFNa2,10.688576221466064,20.48480236787291
CD16+/CD11b-,pSTAT6,PMAIono,7.863238096237183,35.816272656048795
CD7+/HLA-DR-,pSTAT4,Anthrax,6.376561164855957,12.307264955198534
CD7+/HLA-DR-,pSTAT4,IL-4,6.212947368621826,11.517164595092755
Basophils,pMAPKAPK2,TNFa,7.670181751251221,13.862009761854463
CD4+/CD8+,pZap70/Syk,PMAIono,6.023403525352478,NaN
CD4+T cells,IkBa,Ebola VLPs,6.524037003517151,11.763213709080476
Neutrophils,pPLCg2,Basal,6.668335795402527,15.014927879776256
Basophils,p4E-BP1,IFNb,11.085970640182495,10.25541293083806
CD4+T cells,pS6,IFNa2,45.825578689575195,446.1124839338071
CD11b-/CD16-,pSTAT5,IL-4,20.28470277786255,168.38865972547418
CD16+/CD11b+,pSTAT3,LPS,135.2304344177246,11950.508601402757
CD16+/CD11b+,pSTAT6,TNFa,7.704684019088745,60.91260496447669
CD4+/CD8+,pErk1/2,Anthrax,50.745052337646484,NaN
CD11b+/CD16-,p4E-BP1,LPS,28.127275466918945,113.06451784115825
Basophils,pSTAT3,PMAIono,60.94819259643555,7823.392539304814
CD16+/CD11b-,pSTAT4,Ebola VLPs,12.875540256500244,62.28437046555426
CD8+T cells,pSTAT4,IL-2,6.194496989250183,11.910600694284266
CD11b+/CD16-,pSTAT6,IFNa2,10.759087324142456,57.996877867934906
CD16+/CD11b-,pS6,Basal,71.94013595581055,1388.7497159782538
CD8+T cells,pTBK1,IFNa2,6.363378524780273,24.672679242796285
CD8+T cells,pSTAT6,IFNb,6.603512167930603,16.087349928008095
CD4+T cells,Ki67,LPS,16.6331787109375,107.92507548300333
Neutrophils,IkBa,LPS,1.9700858891010284,1.0824400904321285
CD16+/CD11b+,pSTAT1,IFNb,101.46750068664551,2733.411291328946
CD8+T cells,pMAPKAPK2,Basal,5.669582486152649,7.385578942206365
Neutrophils,pPLCg2,R848,7.073595404624939,16.64080598778427
CD16+/CD11b-,IkBa,Anthrax,4.6220269203186035,4.478973119113901
CD7+/HLA-DR-,pTBK1,CD40L,7.711938381195068,36.272507394899904
pDCs,pTBK1,Basal,11.078693151473999,94.51657677433087
B Cells,pCREB,IL-4,19.494312286376953,84.43686418624542
CD16+/CD11b-,pS6,PMAIono,68.16520690917969,1270.948528273782
B Cells,pSTAT3,IL-6,40.587281227111816,2149.557036346989
B Cells,pS6,CD40L,44.99708843231201,370.9470327054898
CD7+/HLA-DR-,pCREB,IFNg,22.42086124420166,133.14425123315687
CD4+/CD8+,pPLCg2,IL-2,10.493492364883423,NaN
CD4+/CD8+,pSTAT3,GM-CSF,80.81778335571289,NaN
CD11b-/CD16-,pSTAT5,IL-6,17.74839973449707,165.91319990915548
CD8+T cells,pP38,IFNa2,14.351611375808716,49.31702585227076
Basophils,pP38,CD40L,11.047213077545166,40.99309284482908
CD16+/CD11b+,p4E-BP1,Ebola VLPs,29.831817626953125,114.90879115409192
CD1c+ B cells,pSTAT5,IFNg,21.005911350250244,NaN
Neutrophils,pZap70/Syk,TNFa,8.312139511108398,6.165141230719777
CD8+T cells,pTBK1,PMAIono,6.725713610649109,28.446340355943754
CD11b+/CD16-,pSTAT1,IL-4,50.99788951873779,1020.6081147716911
CD16+/CD11b-,pSTAT4,LPS,11.25065302848816,55.155311013195224
CD4+/CD8+,pSTAT5,IL-4,20.583786010742188,NaN
CD16+/CD11b-,pSTAT1,Ebola VLPs,53.89498329162598,1153.3858821878118
CD11b-/CD16-,pTBK1,LPS,24.19147300720215,399.06618823138314
CD4+/CD8+,pSTAT5,R848,18.900022983551025,NaN
CD4+T cells,pSTAT4,IFNa2,13.390583992004395,34.202470390230495
CD11b-/CD16-,p4E-BP1,IFNg,46.791181564331055,282.24048336454376
B Cells,pErk1/2,IL-4,26.731354236602783,187.16450245573304
CD1c+ B cells,pSTAT4,Ebola VLPs,10.548180103302002,NaN
CD16+/CD11b+,pCREB,IL-2,51.71598434448242,856.4013729863174
pDCs,pZap70/Syk,GM-CSF,5.164741635322571,NaN
CD16+/CD11b+,pTBK1,Anthrax,19.828442573547363,481.4166507179977
Neutrophils,pMAPKAPK2,IFNa2,7.115806460380554,12.973708946932485
CD11b-/CD16-,pP38,LPS,26.367708206176758,213.3154905310009
pDCs,pZap70/Syk,PMAIono,4.8310476541519165,6.542456394401875
CD4+/CD8+,pPLCg2,Anthrax,10.636615514755249,NaN
CD11b+/CD16-,pSTAT1,Ebola VLPs,51.990925788879395,1027.5210248160186
CD4+/CD8+,pErk1/2,IL-4,49.11783790588379,NaN
CD8+T cells,pP38,IFNb,14.72274661064148,51.2672145107872
CD11b-/CD16-,pS6,IL-6,70.80306816101074,1228.2998945924267
Neutrophils,pSTAT3,IFNa2,61.51104164123535,4195.163460081732
CD16+/CD11b-,pErk1/2,LPS,71.77033805847168,1519.143613780088
CD4+/CD8+,pMAPKAPK2,IL-6,9.097922325134277,NaN
Basophils,pZap70/Syk,GM-CSF,2.8247536420822144,2.302590507083133
CD16+/CD11b+,pPLCg2,IL-4,15.418269157409668,150.8167686483449
B Cells,IkBa,IFNg,5.162699818611145,8.900495132317179
Basophils,pTBK1,IFNg,11.526421070098877,74.03091197622413
CD11b+/CD16-,pSTAT6,Anthrax,7.639613747596741,45.33393715752382
B Cells,p4E-BP1,IFNa2,24.867234706878662,24.127259636054013
CD4+T cells,pSTAT3,Basal,42.34015369415283,2324.3336184840346
CD11b+/CD16-,IkBa,GM-CSF,7.9508819580078125,18.267273023361994
CD4+T cells,pP38,IL-6,13.798380374908447,54.58774441518997
CD11b-/CD16-,pSTAT3,Anthrax,65.70501899719238,3967.855642657211
B Cells,pSTAT4,IL-4,8.471107959747314,17.60864900043866
pDCs,pMAPKAPK2,IFNg,10.375871181488037,24.501610028461847
CD4+/CD8+,pSTAT6,IL-6,5.822067618370056,NaN
Neutrophils,pCREB,Basal,24.16404676437378,128.77329871472773
CD8+T cells,pErk1/2,IL-2,28.93951654434204,242.1624971180044
CD4+T cells,Ki67,GM-CSF,17.089258193969727,106.32234298386307
CD4+/CD8+,pZap70/Syk,CD40L,6.27256965637207,3.3394374120489125
CD4+/CD8+,pP38,Anthrax,20.574427604675293,NaN
B Cells,pErk1/2,TNFa,26.45405101776123,183.571289637638
CD11b+/CD16-,pSTAT6,TNFa,7.512099981307983,50.04092312274576
pDCs,pTBK1,GM-CSF,11.384490013122559,NaN
B Cells,pSTAT3,IL-4,39.36163139343262,2417.460897644792
pDCs,pPLCg2,IL-12,9.647836923599243,31.960324367970884
Basophils,pPLCg2,Ebola VLPs,6.8671954870224,11.506213648989595
CD1c+ B cells,pP38,IFNb,26.783562660217285,NaN
B Cells,pP38,IFNb,17.59487247467041,87.90735245494157
CD16+/CD11b+,pPLCg2,IL-2,15.769606113433838,131.59533830958281
CD4+/CD8+,IkBa,R848,6.779454231262207,NaN
Basophils,pErk1/2,IFNa2,31.41310739517212,474.44544254575595
CD4+T cells,pMAPKAPK2,IFNa2,5.598155498504639,7.418710464687291
CD11b-/CD16-,pMAPKAPK2,IFNb,10.522032499313354,20.8686349551848
CD8+T cells,pMAPKAPK2,R848,5.593045473098755,7.555060615594543
Neutrophils,Ki67,Ebola VLPs,9.875442028045654,46.997687246416604
B Cells,pPLCg2,Ebola VLPs,6.696826219558716,11.221111166001496
CD16+/CD11b+,p4E-BP1,PMAIono,26.270758152008057,93.55190411147215
CD16+/CD11b-,pSTAT4,IFNg,13.631904602050781,59.49723141289055
CD16+/CD11b+,pMAPKAPK2,IFNg,15.055461168289185,37.1243658235509
CD11b-/CD16-,pSTAT5,IFNa2,33.26879119873047,288.7579186123398
CD16+/CD11b-,IkBa,IL-4,4.958357930183411,4.401850047616205
pDCs,pSTAT6,TNFa,8.002847671508789,61.49077161545938
CD4+/CD8+,pCREB,IL-2,32.81619834899902,NaN
CD8+T cells,pPLCg2,IFNg,5.7379080057144165,10.62928025399616
CD7+/HLA-DR-,pErk1/2,R848,23.478221893310547,246.52759623042687
B Cells,pSTAT6,CD40L,7.335004091262817,23.030854624359492
CD16+/CD11b-,pSTAT1,IFNb,82.42900848388672,1788.1513153598225
CD11b+/CD16-,pTBK1,TNFa,47.302626609802246,727.9906392674767
CD8+T cells,pSTAT5,R848,11.618672370910645,55.417685966294776
B Cells,pSTAT6,GM-CSF,7.440395355224609,22.4947812225202
CD4+T cells,pTBK1,IFNa2,7.1840749979019165,31.10575624140128
CD16+/CD11b+,p4E-BP1,CD40L,29.087454795837402,108.269502951698
CD16+/CD11b-,pZap70/Syk,TNFa,6.755196928977966,9.804679372541004
