population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std,optimization_type
CD1c+ B cells,pSTAT6,IL-4,56.024,746.482,CD1c+ B cells,B Cells,Ho165Di,Human,median,CD1c+ B cells,B Cells,Ho165Di,Human,median,40.849,response
CD4+/CD8+,pSTAT5,IL-2,44.772,94.342,CD4+/CD8+,T Cells,Sm149Di,Human,median,CD4+/CD8+,T Cells,Sm149Di,Human,median,25.103,response
CD4+/CD8+,pSTAT6,IL-4,31.776,77.699,CD4+/CD8+,T Cells,Ho165Di,Human,median,CD4+/CD8+,T Cells,Ho165Di,Human,median,16.705,response
CD4+/CD8+,pSTAT5,IFNb,24.783,79.964,CD4+/CD8+,T Cells,Sm149Di,Human,median,CD4+/CD8+,T Cells,Sm149Di,Human,median,20.907,response
CD4+/CD8+,pSTAT3,IL-12,22.357,3538.089,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,109.049,response
CD4+/CD8+,pSTAT1,IFNb,22.066,139.417,CD4+/CD8+,T Cells,Sm147Di,Human,median,CD4+/CD8+,T Cells,Sm147Di,Human,median,26.932,response
CD4+/CD8+,pSTAT3,IL-2,20.658,2499.666,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,101.852,response
CD4+T cells,pSTAT6,IL-4,36.424,82.647,CD4+T cells,T Cells,Ho165Di,Human,median,CD4+T cells,T Cells,Ho165Di,Human,median,16.678,response
CD4+T cells,pSTAT5,IL-2,35.83,107.247,CD4+T cells,T Cells,Sm149Di,Human,median,CD4+T cells,T Cells,Sm149Di,Human,median,22.641,response
CD4+T cells,pSTAT5,IFNb,26.572,51.488,CD4+T cells,T Cells,Sm149Di,Human,median,CD4+T cells,T Cells,Sm149Di,Human,median,16.397,response
CD4+T cells,pSTAT1,IFNb,22.544,106.904,CD4+T cells,T Cells,Sm147Di,Human,median,CD4+T cells,T Cells,Sm147Di,Human,median,22.131,response
CD7+/HLA-DR-,pSTAT5,IL-2,30.304,53.107,CD7+/HLA-DR-,CD19- CD3-,Sm149Di,Human,median,CD7+/HLA-DR-,CD19- CD3-,Sm149Di,Human,median,15.851,response
CD7+/HLA-DR-,pSTAT6,IL-4,22.136,42.445,CD7+/HLA-DR-,CD19- CD3-,Ho165Di,Human,median,CD7+/HLA-DR-,CD19- CD3-,Ho165Di,Human,median,12.141,response
CD8+T cells,pSTAT5,IL-2,44.857,76.0,CD8+T cells,T Cells,Sm149Di,Human,median,CD8+T cells,T Cells,Sm149Di,Human,median,20.982,response
CD8+T cells,pSTAT6,IL-4,25.686,61.079,CD8+T cells,T Cells,Ho165Di,Human,median,CD8+T cells,T Cells,Ho165Di,Human,median,13.772,response
Neutrophils,pSTAT5,GM-CSF,48.801,149.608,Neutrophils,Non-Basophils,Sm149Di,Human,median,Neutrophils,Non-Basophils,Sm149Di,Human,median,22.998,response
Neutrophils,pErk1/2,GM-CSF,26.829,277.92,Neutrophils,Non-Basophils,Sm152Di,Human,median,Neutrophils,Non-Basophils,Sm152Di,Human,median,46.914,response
pDCs,pSTAT6,IL-4,60.572,319.669,pDCs,HLA-DR+ CD11c-,Ho165Di,Human,median,pDCs,HLA-DR+ CD11c-,Ho165Di,Human,median,31.188,response
pDCs,pSTAT5,GM-CSF,49.063,221.368,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,30.469,response
pDCs,pErk1/2,GM-CSF,24.015,227.375,pDCs,HLA-DR+ CD11c-,Sm152Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm152Di,Human,median,37.366,response
pDCs,pSTAT1,IFNb,21.549,160.706,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,26.207,response
pDCs,pCREB,PMAIono,20.794,352.759,pDCs,HLA-DR+ CD11c-,Nd145Di,Human,median,pDCs,HLA-DR+ CD11c-,Nd145Di,Human,median,36.605,response
pDCs,pSTAT5,IFNb,20.671,75.208,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,20.07,response
pDCs,pSTAT1,IFNa2,20.377,133.642,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,24.533,response
pDCs,pP38,R848,20.31,220.75,pDCs,HLA-DR+ CD11c-,Sm154Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm154Di,Human,median,30.969,response
