population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std,optimization_type,population_var,reagent_var,Condition_var,median_var,variance_var,uniquePopulationName_var,parentPopulation_var,channel_var,Species_var,statistic_var,uniquePopulationName_right_var,parentPopulation_right_var,channel_right_var,Species_right_var,statistic_right_var,std_var,optimization_type_var,population_corr,reagent_corr,Condition_corr,median_corr,variance_corr,uniquePopulationName_corr,parentPopulation_corr,channel_corr,Species_corr,statistic_corr,uniquePopulationName_right_corr,parentPopulation_right_corr,channel_right_corr,Species_right_corr,statistic_right_corr,std_corr,optimization_type_corr,combined_score
CD16+/CD11b+,pSTAT6,IL-4,75.754,485.936,CD16+/CD11b+,HLA-DR+/CD7-,Ho165Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Ho165Di,Human,median,40.492,combined,CD16+/CD11b+,pSTAT6,IL-4,75.754,485.936,CD16+/CD11b+,HLA-DR+/CD7-,Ho165Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Ho165Di,Human,median,40.492,variance,,,,,,,,,,,,,,,,,,318.722
CD16+/CD11b+,pErk1/2,Anthrax,30.221,514.138,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,56.139,combined,CD16+/CD11b+,pErk1/2,Anthrax,30.221,514.138,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,56.139,variance,,,,,,,,,,,,,,,,,,287.291
CD16+/CD11b+,pErk1/2,GM-CSF,52.006,364.297,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,56.219,combined,CD16+/CD11b+,pErk1/2,GM-CSF,52.006,364.297,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,56.219,variance,,,,,,,,,,,,,,,,,,234.155
CD16+/CD11b+,pSTAT1,IFNg,35.158,369.351,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,50.636,combined,CD16+/CD11b+,pSTAT1,IFNg,35.158,369.351,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,50.636,variance,CD16+/CD11b+,pSTAT1,IFNg,35.158,369.351,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,50.636,correlation,219.834
CD16+/CD11b+,pSTAT5,GM-CSF,75.643,245.445,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,38.914,combined,CD16+/CD11b+,pSTAT5,GM-CSF,75.643,245.445,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,38.914,variance,CD16+/CD11b+,pSTAT5,GM-CSF,75.643,245.445,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,38.914,correlation,198.365
CD16+/CD11b+,pSTAT1,IFNb,41.463,308.961,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,51.451,combined,CD16+/CD11b+,pSTAT1,IFNb,41.463,308.961,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,51.451,variance,CD16+/CD11b+,pSTAT1,IFNb,41.463,308.961,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,51.451,correlation,195.943
CD16+/CD11b+,pSTAT1,IFNa2,33.399,237.225,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,48.551,combined,,,,,,,,,,,,,,,,,,CD16+/CD11b+,pSTAT1,IFNa2,33.399,237.225,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,48.551,correlation,152.011
CD16+/CD11b+,pErk1/2,R848,31.54,230.834,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,53.766,combined,,,,,,,,,,,,,,,,,,CD16+/CD11b+,pErk1/2,R848,31.54,230.834,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,53.766,correlation,146.957
Basophils,pSTAT5,GM-CSF,61.117,191.006,Basophils,Singlets,Sm149Di,Human,median,Basophils,Singlets,Sm149Di,Human,median,30.594,combined,Basophils,pSTAT5,GM-CSF,61.117,191.006,Basophils,Singlets,Sm149Di,Human,median,Basophils,Singlets,Sm149Di,Human,median,30.594,variance,Basophils,pSTAT5,GM-CSF,61.117,191.006,Basophils,Singlets,Sm149Di,Human,median,Basophils,Singlets,Sm149Di,Human,median,30.594,correlation,156.62
Basophils,pErk1/2,GM-CSF,29.051,73.895,Basophils,Singlets,Sm152Di,Human,median,Basophils,Singlets,Sm152Di,Human,median,26.047,combined,Basophils,pErk1/2,GM-CSF,29.051,73.895,Basophils,Singlets,Sm152Di,Human,median,Basophils,Singlets,Sm152Di,Human,median,26.047,variance,Basophils,pErk1/2,GM-CSF,29.051,73.895,Basophils,Singlets,Sm152Di,Human,median,Basophils,Singlets,Sm152Di,Human,median,26.047,correlation,65.999
